Year,Trend,Cyclical,Seasonal,Irregular Fluctuations,Total
0.0,0.0,0.0,0.0,0.06010679571939053,0.06010679571939053
0.013013013013013013,0.001001001001001001,0.006813386801053277,0.01587635431174847,0.016344405300457446,0.04003514741426019
0.026026026026026026,0.002002002002002002,0.013625508372668033,0.03134997742432164,0.04093289067172672,0.08791037847071839
0.03903903903903904,0.003003003003003003,0.02043509972035579,0.04602835411228759,-0.014068106417657912,0.05539835041798847
0.05205205205205205,0.004004004004004004,0.027240896319484533,0.05953914195184961,-0.018256710126995975,0.07252733214834217
0.06506506506506507,0.005005005005005005,0.03404163435009787,0.0715396164307182,-0.04329037553127042,0.06729588025455065
0.07807807807807808,0.006006006006006006,0.04083605093160332,0.08172536474840733,-0.011295477932768578,0.11727194375324806
0.09109109109109109,0.007007007007007007,0.047622884357286246,0.0898380077736674,-0.02939492186103003,0.11507297727693062
0.1041041041041041,0.008008008008008008,0.05440087432860564,0.09567175427824227,-0.0030534896358574404,0.15502714697899847
0.11711711711711711,0.009009009009009009,0.0611687621892286,0.09907862118747021,-0.082162440453393,0.08709395193231484
0.13013013013013014,0.01001001001001001,0.06792529115875974,0.09997218742703888,-0.017764624640512094,0.16014286395529653
0.14314314314314314,0.011011011011011011,0.0746692065661222,0.09832978614307632,0.08563691632951578,0.26964692004972535
0.15615615615615616,0.012012012012012012,0.08139925608254717,0.09419307968612152,0.010276245547163748,0.19788059332784444
0.16916916916916916,0.013013013013013013,0.08811418995412813,0.08766700277351153,-0.07143852933007813,0.11735567641057454
0.18218218218218218,0.014014014014014014,0.09481276123389736,0.07891710063869958,-0.025015358047670203,0.16272851783894077
0.19519519519519518,0.015015015015015015,0.10149372601338065,0.06816532968995331,0.0351702747015792,0.21984434541992814
0.2082082082082082,0.016016016016016016,0.10815584365358846,0.055684427201990884,0.041992028529886344,0.2218483154014817
0.22122122122122123,0.017017017017017015,0.1147978770153993,0.041790992863069934,-0.004151048160903128,0.1694548387345831
0.23423423423423423,0.018018018018018018,0.12141859268929357,0.02683745767605843,-0.11479539394495247,0.051478674438417554
0.24724724724724725,0.01901901901901902,0.12801676122439476,0.011203143936208982,0.03089036880837813,0.1891292929880009
0.2602602602602603,0.02002002002002002,0.13459115735677546,-0.004715356935230595,-0.07003795225791774,0.07985786818364714
0.2732732732732733,0.02102102102102102,0.14114056023698585,-0.02051424461866883,0.10366103573131079,0.24530837237064884
0.2862862862862863,0.022022022022022022,0.1476637536567626,-0.03579275299000411,0.008781448767739291,0.1426744714565198
0.29929929929929927,0.023023023023023025,0.15415952627487575,-0.05016331624683767,-0.07220861554281574,0.05481061750824537
